hsgrad,nonwhite,mhs,fhs,income,asvab,nsibs,intact
Yes,Yes,Yes,No,1.938,-0.319,3,No
No,Yes,Yes,No,8.315,-1.582,9,No
Yes,Yes,Yes,No,8.315,-0.87,9,Yes
No,Yes,No,No,0.917,-1.419,11,No
Yes,No,Yes,No,13.856,-0.046,1,Yes
No,No,No,Yes,6.005,-0.665,4,Yes
Yes,Yes,No,Yes,10.733,0.013,2,No
Yes,No,Yes,No,8.944,0.861,2,Yes
Yes,Yes,No,Yes,4.472,-0.089,2,Yes
No,No,No,No,3.58,-1.719,5,No
Yes,No,Yes,No,31.82,0,0,Yes
No,No,Yes,No,11.18,-0.3,2,No
Yes,No,No,No,30,1.541,2,Yes
Yes,No,No,No,18.371,1.45,3,Yes
Yes,No,No,No,4.619,1.218,1,No
Yes,No,No,No,8.165,1.569,3,Yes
Yes,No,No,No,13.64,-0.532,2,Yes
Yes,No,Yes,No,20.412,0.171,2,Yes
No,No,Yes,No,10.614,-0.49,9,Yes
No,Yes,Yes,No,11.628,-0.719,9,Yes
Yes,No,Yes,No,14.95,1.058,4,Yes
Yes,No,Yes,No,14.95,0.882,4,Yes
Yes,No,Yes,No,11.18,-0.53,3,Yes
Yes,No,Yes,No,11,-0.45,1,Yes
Yes,No,No,No,28.284,0.346,0,No
Yes,No,No,No,20,1.061,2,Yes
Yes,No,Yes,Yes,11.18,0.704,4,No
Yes,No,Yes,No,20,1.372,3,Yes
No,No,Yes,Yes,16,-0.761,3,Yes
Yes,No,No,No,15,0.324,1,Yes
Yes,No,No,No,8.66,0,1,No
Yes,No,No,No,5.715,-0.404,3,Yes
Yes,No,No,No,5.715,-0.251,3,Yes
Yes,No,No,Yes,7.5,0.788,1,Yes
Yes,No,Yes,Yes,7.5,0.362,2,Yes
Yes,No,Yes,Yes,7.5,0.331,2,Yes
Yes,No,Yes,Yes,10,1.005,2,No
Yes,No,Yes,Yes,4.572,0.62,3,Yes
Yes,No,Yes,Yes,4.572,0.285,3,Yes
Yes,No,Yes,Yes,7.181,0.784,5,Yes
Yes,No,No,No,9.39,1.654,3,Yes
No,No,No,No,9.39,-0.351,3,Yes
Yes,No,Yes,Yes,8.4,0.939,3,Yes
Yes,No,Yes,No,9.39,1.664,3,Yes
Yes,No,Yes,No,9.39,1.691,3,Yes
Yes,No,Yes,Yes,7.921,0.292,6,Yes
Yes,No,Yes,Yes,7.921,0.306,6,Yes
Yes,No,No,No,15,0.474,1,Yes
Yes,No,No,No,6,0.035,1,Yes
Yes,Yes,No,No,9.798,1.019,3,Yes
Yes,No,Yes,Yes,22.678,0.487,6,Yes
No,No,Yes,Yes,3.578,0.161,3,No
Yes,No,Yes,No,12,1.037,2,Yes
Yes,No,No,No,22.5,1.539,1,Yes
Yes,No,Yes,No,13.88,0.528,3,Yes
Yes,No,No,Yes,18.371,0.737,3,Yes
Yes,No,Yes,Yes,10.392,-0.062,1,Yes
Yes,Yes,No,No,11,0.516,1,Yes
Yes,No,Yes,Yes,6.708,0.746,4,Yes
No,No,Yes,Yes,7,-0.77,3,Yes
Yes,No,Yes,Yes,4.8,0.085,3,Yes
Yes,No,No,No,20.207,1.252,1,Yes
Yes,Yes,No,No,10.159,0.853,1,No
Yes,No,No,No,24.495,1.142,2,Yes
No,No,Yes,No,1.68,-0.864,2,No
Yes,No,No,No,9.238,1.149,3,Yes
Yes,No,Yes,No,3.536,0.897,1,No
Yes,No,Yes,Yes,10.392,0.701,2,Yes
Yes,No,No,No,5.081,0.635,1,Yes
Yes,No,Yes,Yes,13.5,0.676,1,Yes
Yes,No,Yes,Yes,10.733,1.144,2,Yes
Yes,No,Yes,No,12.702,0.381,3,No
Yes,No,Yes,No,20,0.905,5,Yes
Yes,No,Yes,Yes,33.541,0.241,2,Yes
No,Yes,Yes,No,2.8,-0.344,9,No
No,No,Yes,No,2.425,-1.153,9,No
No,No,No,No,6.221,-0.693,4,No
Yes,Yes,No,No,9.839,1.191,1,Yes
No,Yes,No,No,4.472,-1.442,2,No
No,Yes,No,No,0.265,-0.868,5,No
Yes,Yes,No,No,2.041,0.366,6,Yes
Yes,No,No,Yes,9.5,1.315,1,Yes
Yes,No,Yes,Yes,10.206,-0.482,4,Yes
Yes,No,No,No,11.748,-0.963,3,Yes
Yes,No,Yes,Yes,12.075,0.053,2,Yes
Yes,No,No,No,3.536,0.114,3,No
Yes,No,No,No,3.536,-1.11,3,No
Yes,No,Yes,No,15.7,0.179,3,Yes
Yes,No,No,No,15.062,0.636,2,Yes
Yes,No,Yes,Yes,5.196,-0.612,1,Yes
Yes,No,Yes,Yes,9.839,0.221,2,Yes
Yes,No,No,No,18.783,0.361,2,Yes
Yes,No,No,No,6.532,0.056,3,No
Yes,No,Yes,Yes,10.104,1.024,2,No
Yes,No,Yes,Yes,10,1.487,1,Yes
Yes,No,No,No,13.229,-0.285,4,No
Yes,No,Yes,No,1.35,0,1,Yes
Yes,No,Yes,No,5.774,0.747,1,Yes
Yes,No,Yes,No,10.286,-0.041,2,Yes
Yes,No,Yes,No,9.815,1.192,1,Yes
Yes,No,Yes,Yes,14.434,0.989,2,Yes
Yes,No,No,No,7.5,1.235,3,Yes
Yes,No,Yes,No,11,0.108,1,Yes
Yes,No,Yes,Yes,12.702,0.818,4,Yes
Yes,No,Yes,Yes,12,-0.365,2,Yes
Yes,No,Yes,Yes,12,-0.646,2,Yes
No,No,No,No,3.464,-1.267,1,No
No,No,Yes,No,4.83,-1.124,4,No
Yes,No,Yes,No,4.83,-0.671,4,No
Yes,No,Yes,No,22.361,1.196,2,Yes
Yes,No,Yes,Yes,15.011,1.261,0,Yes
No,No,No,No,0.939,-1.597,5,No
Yes,No,Yes,No,11.431,-0.683,3,Yes
No,No,No,No,11.258,0,0,Yes
No,No,Yes,No,5.292,-1.721,2,No
Yes,No,Yes,No,5.292,-0.742,2,No
Yes,No,Yes,Yes,13,0.735,1,Yes
Yes,No,No,No,11.547,1.546,1,Yes
Yes,No,Yes,Yes,14.5,0.911,5,Yes
Yes,No,Yes,Yes,12.969,0.481,5,Yes
Yes,No,No,No,2.256,-0.125,4,No
No,No,Yes,No,2.449,-1.225,3,Yes
Yes,No,Yes,No,3.5,0.13,2,No
Yes,No,Yes,Yes,7.75,0.244,11,No
Yes,No,No,No,10.206,1.481,3,Yes
Yes,No,No,No,3.578,-2.01,2,Yes
Yes,No,Yes,Yes,11,0.35,1,Yes
Yes,No,Yes,Yes,8.485,-0.593,6,Yes
No,No,Yes,Yes,8.485,-0.814,6,Yes
No,No,No,No,3.266,-1.59,10,Yes
No,No,No,No,3.266,-1.281,10,Yes
Yes,No,Yes,Yes,12.5,1.305,1,Yes
Yes,No,Yes,No,17.5,0.496,2,Yes
Yes,No,No,No,7.333,1.439,6,Yes
Yes,No,Yes,No,7.333,1.082,6,Yes
Yes,No,No,Yes,16.547,1.686,2,Yes
Yes,No,Yes,Yes,13.416,-0.271,3,Yes
No,No,No,No,9.899,-0.987,0,No
Yes,No,Yes,No,3.536,0.684,5,Yes
Yes,No,Yes,No,11,1.368,1,Yes
Yes,No,Yes,Yes,14,1.021,2,Yes
Yes,Yes,Yes,Yes,17.889,0.774,2,Yes
Yes,No,No,No,12.124,-0.012,1,Yes
Yes,No,Yes,No,18.475,0.711,3,Yes
Yes,No,No,No,4.74,0.155,3,Yes
Yes,No,No,No,5.931,0.892,4,No
Yes,No,Yes,No,9,-0.005,1,Yes
Yes,No,Yes,No,9,-0.705,1,Yes
Yes,No,Yes,Yes,11.5,1.154,1,Yes
Yes,No,No,Yes,5.657,0.805,0,No
Yes,Yes,Yes,Yes,4.919,-0.55,3,No
Yes,Yes,Yes,Yes,4.919,-0.845,3,No
Yes,No,No,No,17.889,0.496,2,Yes
Yes,No,Yes,No,8.16,0.23,1,Yes
Yes,No,No,No,4.619,0.015,2,Yes
Yes,No,Yes,No,15.652,1.351,2,Yes
No,No,No,No,6.708,-0.982,2,Yes
Yes,No,Yes,Yes,6,0.054,1,Yes
No,No,No,No,3.25,-1.464,5,Yes
No,Yes,Yes,No,13.333,-1.513,5,Yes
Yes,No,No,No,20,1.64,1,Yes
Yes,No,No,No,8.573,1.398,5,Yes
No,No,No,No,5.367,-1.071,5,Yes
No,No,No,No,5.367,-1.594,5,Yes
Yes,No,No,No,1.485,-0.446,10,No
No,No,No,No,6,-0.792,6,Yes
Yes,No,Yes,Yes,8.944,-0.2,2,Yes
Yes,No,No,Yes,8.497,-0.357,2,Yes
Yes,No,No,Yes,8.497,0.359,2,Yes
Yes,No,Yes,Yes,8.66,0.368,1,Yes
Yes,No,Yes,Yes,8.944,1.26,3,Yes
Yes,No,Yes,Yes,21,-1.02,1,Yes
No,Yes,Yes,No,2.683,-1.482,3,No
No,No,Yes,No,8.165,-1.543,6,Yes
Yes,No,Yes,Yes,11.533,-0.234,3,No
Yes,No,Yes,No,10.5,0.749,1,Yes
Yes,No,Yes,Yes,5.367,0.916,3,No
Yes,Yes,No,No,4.536,-0.034,5,Yes
Yes,Yes,Yes,No,7.603,0.949,2,No
No,Yes,No,No,4.693,-1.145,10,Yes
Yes,No,Yes,No,8.032,1.423,2,No
Yes,No,Yes,No,12.667,1.343,6,Yes
Yes,No,Yes,No,12.667,0.767,6,Yes
Yes,No,No,No,8.497,0.201,2,Yes
No,No,Yes,Yes,7.5,-0.412,2,Yes
Yes,No,No,Yes,11.18,1.626,4,Yes
No,No,Yes,Yes,4.914,-0.678,5,Yes
Yes,No,Yes,Yes,4.914,0.489,4,Yes
Yes,No,No,No,7,0.711,1,No
Yes,No,No,Yes,10.206,0.917,5,Yes
No,No,No,Yes,10.206,-1.235,5,Yes
Yes,No,No,No,5.303,0.679,1,No
Yes,No,No,No,9.391,0.682,2,Yes
Yes,No,Yes,Yes,12.8,0.932,3,No
Yes,No,Yes,No,5.68,0.419,2,No
Yes,No,Yes,Yes,7.647,-1.141,2,No
Yes,No,Yes,Yes,19.963,-0.206,3,Yes
Yes,No,Yes,No,6.75,1.519,2,Yes
Yes,No,No,No,13.856,1.014,0,Yes
Yes,No,No,No,7.778,-0.641,4,No
Yes,Yes,Yes,No,5,-0.273,3,Yes
Yes,No,Yes,No,5.124,0.951,5,Yes
Yes,No,Yes,Yes,11.18,1.49,2,Yes
Yes,No,No,Yes,6.546,1.183,5,Yes
Yes,No,Yes,Yes,8.944,0.963,2,Yes
Yes,No,Yes,Yes,10.619,1.244,1,Yes
Yes,No,Yes,Yes,13,0.822,3,Yes
Yes,No,No,No,2.598,-0.063,3,Yes
Yes,No,Yes,Yes,3.464,-1.012,10,Yes
Yes,No,Yes,Yes,4.135,1.435,1,Yes
Yes,No,No,No,6.172,-0.892,12,Yes
Yes,No,No,No,6.172,0.003,12,Yes
Yes,No,No,No,6.172,-1.253,12,Yes
Yes,No,No,No,4,1.547,1,Yes
No,No,No,No,6.5,0.068,3,Yes
No,No,No,No,5.367,0.633,4,Yes
Yes,No,Yes,Yes,7.155,0.537,2,Yes
Yes,No,Yes,No,8.944,1.219,2,Yes
Yes,No,Yes,No,13.5,0.856,1,Yes
Yes,No,Yes,No,13.5,-0.432,1,Yes
No,No,Yes,Yes,7.217,-1.447,3,No
Yes,No,Yes,Yes,6.081,0.785,2,No
Yes,No,Yes,No,5.367,1.765,2,No
Yes,No,No,No,10.5,1.343,1,Yes
Yes,Yes,No,No,3.578,-0.066,4,Yes
Yes,Yes,No,No,2.177,0.71,8,Yes
No,Yes,No,No,2.834,-1.467,3,Yes
No,No,No,No,1.5,-1.526,2,Yes
No,Yes,No,No,0.077,-1.545,12,Yes
Yes,Yes,No,Yes,2.268,0.076,4,Yes
Yes,Yes,No,No,2.828,0.158,6,Yes
Yes,Yes,No,No,3.266,-1.18,9,Yes
Yes,No,Yes,No,17.321,1.506,1,Yes
Yes,No,Yes,No,11,1.211,1,Yes
Yes,No,Yes,No,15.011,1.291,0,Yes
Yes,No,No,No,6,0.152,2,Yes
No,No,Yes,No,10.733,0.6,3,Yes
Yes,No,Yes,Yes,3.187,-0.04,5,No
Yes,No,Yes,Yes,10.286,0.171,2,Yes
Yes,No,No,No,3.13,0.926,2,Yes
Yes,No,No,No,3.13,-1.147,2,Yes
Yes,Yes,Yes,No,5.376,-0.867,10,Yes
Yes,Yes,No,No,9.815,-0.112,0,Yes
Yes,No,No,No,8.132,1.015,5,Yes
Yes,No,No,No,0.805,-1.62,2,Yes
Yes,No,Yes,No,1.097,0.129,2,Yes
Yes,No,No,No,6.954,0.971,2,Yes
Yes,No,Yes,Yes,19.706,1.526,1,Yes
Yes,Yes,Yes,Yes,5.814,-0.608,2,Yes
Yes,Yes,Yes,No,9.899,-0.886,5,No
Yes,No,No,Yes,8.981,-0.597,3,Yes
Yes,No,Yes,Yes,6.803,0.219,4,Yes
Yes,No,No,Yes,4.572,0.523,3,Yes
Yes,No,No,No,8.25,0.138,0,No
No,No,Yes,No,12.75,-0.358,1,Yes
Yes,No,Yes,No,6.708,1.53,2,Yes
Yes,No,No,No,5.367,1.766,3,Yes
Yes,No,No,No,20.125,1.519,2,Yes
Yes,No,Yes,Yes,17.889,-0.065,6,Yes
Yes,No,Yes,No,17.889,1.125,6,Yes
Yes,No,Yes,No,11.339,1.048,2,Yes
Yes,No,No,No,10,1.756,1,Yes
Yes,No,No,Yes,4.899,0.381,5,Yes
Yes,No,No,No,12.247,1.184,5,Yes
Yes,No,No,No,12.247,0.441,5,Yes
Yes,No,No,No,20.412,0.357,3,Yes
Yes,No,No,No,20.412,1.391,3,Yes
Yes,No,No,No,43.301,1.517,2,Yes
Yes,No,No,No,23.702,1.275,2,Yes
Yes,No,No,No,23.702,1.396,2,Yes
Yes,No,No,Yes,2,-0.175,3,No
Yes,No,No,Yes,10.062,0.685,2,Yes
Yes,No,No,No,33.541,1.481,2,Yes
Yes,No,No,No,10,0.377,3,Yes
Yes,No,Yes,No,13.472,0.515,3,Yes
Yes,No,No,No,13.676,0.912,5,Yes
No,No,No,Yes,3.688,-0.106,1,No
Yes,No,Yes,No,5.669,-1.75,4,Yes
Yes,No,No,No,14.289,0.737,3,Yes
Yes,No,No,No,14.289,1.169,3,Yes
Yes,No,Yes,No,11.339,0.746,5,Yes
Yes,No,No,No,12.5,0.814,1,Yes
No,No,No,No,3.189,-1.765,4,No
Yes,No,No,No,3.511,-0.869,4,No
No,Yes,No,No,4.75,-1.775,6,Yes
Yes,No,No,Yes,14.5,-0.161,2,Yes
No,No,Yes,Yes,6.736,-0.612,4,Yes
Yes,No,Yes,Yes,4.472,1.311,2,Yes
Yes,No,Yes,No,8.655,0.573,3,Yes
Yes,No,Yes,Yes,8,-0.205,6,Yes
Yes,No,Yes,Yes,13.064,0.321,3,Yes
Yes,No,No,No,24.495,1.343,3,No
Yes,No,No,No,24.495,1.731,3,Yes
Yes,No,No,No,24.495,1.386,3,No
Yes,No,No,No,17.324,0.778,4,Yes
Yes,Yes,Yes,No,13.856,0.239,1,Yes
Yes,No,Yes,Yes,7.155,1.428,2,Yes
Yes,No,Yes,Yes,14,0.538,5,Yes
Yes,No,No,No,14,-0.549,1,Yes
Yes,No,No,No,15.119,0.4,4,Yes
No,No,No,No,2.259,0,2,No
Yes,No,Yes,No,12.5,-0.875,2,No
Yes,No,No,No,12.413,1.384,2,Yes
Yes,Yes,No,No,0.816,-0.921,6,No
Yes,No,No,No,4.327,-0.076,6,Yes
Yes,No,Yes,No,15.652,1.305,2,Yes
Yes,No,Yes,Yes,7.757,-0.794,5,Yes
Yes,No,Yes,Yes,15,0.407,2,Yes
Yes,No,Yes,No,14.434,1.488,2,Yes
Yes,No,No,No,15,1.546,1,Yes
Yes,No,Yes,Yes,10.392,-0.048,0,Yes
Yes,No,No,No,7.25,0,2,No
Yes,No,No,No,7.25,0.075,2,No
Yes,No,No,No,33.541,1.573,2,Yes
No,No,Yes,No,12.702,-0.222,0,No
Yes,No,Yes,No,12.522,0.505,2,Yes
Yes,No,Yes,No,8.839,0.72,5,Yes
Yes,No,Yes,No,8.839,1.187,5,Yes
No,No,No,Yes,11.547,-1.179,2,Yes
Yes,Yes,Yes,Yes,14.758,0.501,2,Yes
Yes,No,Yes,Yes,11.023,1.477,3,No
Yes,No,Yes,No,6.532,0.231,4,No
Yes,No,Yes,No,12.5,1.552,2,Yes
Yes,No,No,No,8.944,1.539,2,Yes
Yes,No,No,No,3.8,-0.375,3,Yes
Yes,Yes,Yes,Yes,11.18,1.104,3,Yes
No,Yes,No,No,2.851,-1.596,4,No
